name,address,longitude,latitude,grade,grade_date,grade_change,gradex,gradex_date,gradex_change,gradex2,gradex2_date,gradex2_change,gradex3,gradex3_date
Fresh Sushi,"2 Manse Street, Regent, Whangarei",174.3224532,-35.715114,Grade A,2016-03-01,,,,,,,,,
G Parkes," 30 Marsden Point Road, Ruakaka, Whangarei",174.450015,-35.902595,Grade A, 2015-03-01,,,,,,,,,
Gas Bream Bay,"2618 State Highway 1, Ruakaka, Whangarei",174.4338945,-35.8926944,Grade A,2016-03-01,0,Grade A, 2015-03-01,,,,,,
Gas Mangatapere Dairy,"State Highway 14, Mangatapere, Whangarei",174.237636,-35.7408623,Grade A,2015-12-01,,,,,,,,,
Gas Parua Bay,"1373 Whangarei Heads Road, Parua Bay, Whangarei",174.479786,-35.769242,Grade A,2015-09-01,0,Grade A, 2014-08-01,,,,,,
Gas Point Ltd Wortelboer's,"596 Port Marsden Highway, One Tree Point, Whangarei",174.467795,-35.854234,Grade A+,2015-08-01,,Grade A+, 2014-08-01,,,,,,
Gas Tikipunga,"81 Paramount Parade, Tikipunga, Whangarei",174.3219802,-35.6829289,Grade A,2015-11-01,,Grade A, 2014-11-01,,,,,,
Gengy's Restaurant," 62 Walton Street, Whangarei",174.321649,-35.726985,Grade A+, 2013-04-01,,,,,,,,,
Giant DVD,"Vine Street, Whangarei",174.319283,-35.7256726,Grade A,2015-05-01,1,Grade B+ , 2014-05-01,,,,,,
Glez Coffee House,"Lower Tarewa Road, Whangarei",174.3184593,-35.7289942,Grade A+,2015-09-01,0,Grade A+, 2014-09-01,,,,,,
Go Go Espresso,"24 Reyburn Street, Whangarei",174.3264617,-35.7275918,Grade A+,2015-11-01,0,Grade A+, 2013-12-01,,,,,,
Golden Bay Staff  Cafeteria," Portland Road, Portland, Whangarei",174.318015,-35.798041,Grade A+, 2013-12-01,,,,,,,,,
Golf Club Country Kitchen,"160A Pipiwai Road, Kamo, Whangarei",174.2816677,-35.6739019,Grade A,2015-06-01,-1,Grade A+, 2014-06-01,,,,,,
Gopals Hare Krisna Food for Life,"6 Vine Street, Whangarei ",174.31914,-35.725721,Grade A+,2015-11-01,0,Grade A+, 2014-11-01,,,,,,
Gourmet Mussels," 1341 Whangarei Heads Road, Parua Bay, Whangarei",174.476916,-35.767885,Grade A, 2013-03-01,,,,,,,,,
Grand Hotel,"2 Bank Street, Whangarei",174.3190204,-35.7262157,Grade A+,2015-11-01,0,Grade A+, 2014-11-01,,,,,,
Grand Thai Restaurant,"2 Bank Street, Whangarei",174.3190204,-35.7262157,Grade A+,2016-03-01,0,Grade A+, 2013-02-01,,,,,,
Grasscouch Greens,"97 Kiwi Bush Lane, Ngunguru, Whangarei",174.4676625,-35.6002838,Grade A+,2015-09-01,,,,,,,,,
Great Wall Takeaways,"95 Kamo Road, Kensington, Whangarei",174.321575,-35.7088948,Grade A+,2015-08-01,0,Grade A+, 2014-09-01,,,,,,
Happy Dragon Takeaways,"404 Kamo Road, Kamo, Whangarei",174.30115,-35.6831914,Grade A+,2015-09-01,0,Grade A+, 2014-08-01,,,,,,
Happy Town Chinese Takeaways,"118 Onerahi Road, Onerahi, Whangarei",174.3681247,-35.7551582,Grade A+,2016-04-01,,,,,,,,,
Hardware Cafe,"Bunnings Warehouse, Tauroa Street, Whangarei",174.3018171,-35.7509893,Grade A+,2015-10-01,,,,,,,,,
Hardy's Healthy Living,"The Strand, 41 Cameron Street, Whangarei",174.3204131,-35.7254219,Grade A,2016-03-01,,,,,,,,,
Harry's Lunchbar," 156 Cameron Street, Whangarei",174.325153,-35.728642,Grade A+,2015-12-01,0,Grade A+, 2014-08-01,,,,,,
Havana Cabana,"23 McAuslin Road, Sandy Bay, Whangarei",174.474316,-35.556725,Grade A,2016-02-01,0,Grade A, 2015-02-01,,,,,,
Havel South Indian Cuisine,"56 Walton Street, Whangarei",174.3227007,-35.7260707,Grade A+,2015-12-01,,,,,,,,,
Head office," 3 Water Street, Whangarei",174.318796,-35.725762,Grade B, 2013-03-01,,,,,,,,,
Healthwise Kamo," 523 Kamo Road, Kamo, Whangarei ",174.300469,-35.683436,Grade A, 2014-12-01,,,,,,,,,
Heat 7 Pizza," 243 Kamo Road, Whau Valley, Whangarei ",174.312432,-35.698588,Grade A+, 2014-06-01,,,,,,,,,
Heaven," 25 Vine Street, Whangarei",174.319582,-35.725696,Grade B, 2013-09-01,,,,,,,,,
Hell Pizza,"214 Bank Street, Regent, Whangarei",174.3230336,-35.7155845,Grade A+,2016-03-01,0,Grade A+,2015-07-01,0,Grade A+, 2015-03-01,,,
Herekino Street Lunchbar,"10 Herekino Street, Whangarei",174.3281628,-35.7282028,Grade A,2016-06-01,-1,Grade A+,2015-07-01,0,Grade A+, 2013-08-01,,,
Hikari Sushi Bar,"Cameron Street, Whangarei",174.3221247,-35.7265927,Grade A+,2016-02-01,,,,,,,,,
Hikurangi Home Cookery,"45 King Street, Hikurangi, Whangarei",174.2858363,-35.5972909,Grade B,2016-05-01,-3,Grade A+,2015-05-01,,,,,,
Hikurangi Takeaway,"59 King Street, Hikurangi, Whangarei",174.2856033,-35.5962601,Grade B,2016-05-01,,,,,,,,,
Hook Inn,"386 Kamo Road, Kamo, Whangarei",174.3014636,-35.6838687,Grade B,2015-08-01,-2,Grade A, 2014-08-01,,,,,,
Horncroft Conserves,"18 Cooper Road, Maungatapere, Whangarei",174.1722297,-35.7618085,Grade A,2016-02-01,,,,,,,,,
Hospital Fish Shop and Takeaway,"117 Maunu Road, Maunu, Whangarei",174.3054006,-35.7343338,Grade A+,2015-07-01,0,Grade A+, 2014-07-01,,,,,,
Hot 'n' Juicy,"Shop 24 The Strand, 41 Cameron Street, Whangarei",174.3204131,-35.7254219,Grade A,2016-05-01,-1,Grade A+,2015-06-01,,,,,,
Hot Spot Takeaways,"40 Water Street, Whangarei",174.3171447,-35.7265111,Grade A,2015-12-01,0,Grade A, 2014-12-01,,,,,,
Huanui Orchards,"279 Ngunguru Road, Glenbervie, Whangarei",174.3544402,-35.6675387,Grade A,2016-03-01,0,Grade A, 2015-03-01,,,,,,
Hukerenui Cafe and Tavern,"State Highway 1, Hukerenui, Whangarei",175.2074759,-37.7264572,Grade A+,2015-10-01,,,,,,,,,
Hungry Jacks Lunch Bar,"43 Commerce Street, Whangarei",174.3250861,-35.7304,Grade A+,2015-11-01,0,Grade A+, 2014-10-01,,,,,,
Hydro Healthy,"46 Main Road, Kauri, Whangarei",174.3076371,-35.6451422,Grade A,2016-05-01,0,Grade A,2015-05-01,0,Grade A, 2015-04-01,,,
Ice on Tap," 7 Morningside Road, Whangarei ",174.318073,-35.731066,Grade B+ , 2014-04-01,,,,,,,,,
Indian Aroma,"23-25 Vine Street, Whangarei",174.3195815,-35.7256958,Grade A,2015-09-01,0,Grade A, 2014-08-01,,,,,,
Indulge,"99 Cameron Street, Whangarei",174.3225523,-35.7272587,Grade A+,2015-09-01,0,Grade A+, 2014-09-01,,,,,,
J and J Cakes,"14 Mariposa Place, Kamo, Whangarei",174.3101225,-35.6753226,Grade A+, 2015-04-01,1,Grade A,2016-05-01,,,,,,
J Scott Honey Extraction,"76 Roimata Lane, Whananaki North, Whangarei ",174.442606,-35.467114,Grade A,2016-06-01,0,Grade A,2015-06-01,0,Grade A, 2014-06-01,0,Grade A, 2013-08-01
Jack Street Burger Bar,"6 Jack Street, Otangarei, Whangarei",174.3212384,-35.6980838,Grade A+,2015-05-01,3,Grade B , 2014-05-01,,,,,,
Jack Street Dairy,"10 Jack Street, Otangarei, Whangarei ",174.321132,-35.697984,Grade B+ , 2014-05-01,,,,,,,,,
Jack Street Takeaways,"Jack Street, Otangarei, Whangarei",174.3161473,-35.6966131,Grade C,2016-04-01,,,,,,,,,
Jane Tait,"576 Snooks Road, Maungakaramea, Whangarei",174.1841537,-35.8138451,Grade A,2016-06-01,,,,,,,,,
JC's Organic  Heirlooms,"175 Apotu Road, Kauri, Whangarei",174.2800226,-35.6377675,Grade A,2015-09-01,0,Grade A, 2014-09-01,,,,,,
Jessica/Otangarei  Takeaways,"169 William Jones Drive, Otangarei, Whangarei",174.31954,-35.695023,Grade A+,2015-08-01,0,Grade A+, 2014-09-01,,,,,,
Jesters Jaffle Pie Co,"71 Cameron Street, Whangarei",174.320852,-35.7260657,Grade A,2016-05-01,0,Grade A, 2015-03-01,,,,,,
JG Parkes,"30 Marsden Point Road, Ruakaka, Whangarei",174.4500145,-35.9025952,Grade A,2016-03-01,,,,,,,,,
Jolt Cafe,"460 Maunu Road, Maunu, Whangarei",174.2812965,-35.739992,Grade A+,2015-11-01,0,Grade A+, 2014-11-01,,,,,,
Judge House of Ale,"57 Walton Street, Whangarei",174.322655,-35.725976,Grade A+,2015-10-01,0,Grade A+, 2014-09-01,,,,,,
Kamo Bakehouse,"527 Kamo Road, Kamo, Whangarei",174.3006055,-35.6832117,Grade A+,2015-11-01,0,Grade A+, 2014-11-01,,,,,,
Kamo Bakery and Hot Bread Shop,"2 Station Road, Kamo, Whangarei",174.300719,-35.681825,Grade B,2016-06-01,-2,Grade A, 2015-04-01,,,,,,
Kamo Dairy,"396 Kamo Road, Kamo, Whangarei",174.3012103,-35.6835356,Grade B,2016-06-01,0,Grade B, 2015-04-01,,,,,,
Kamo Hotel and Ale House,"Kamo Road, Kamo, Whangarei",174.3018366,-35.6850272,Grade B,2016-05-01,,,,,,,,,
Kamo Mobil Mart,"473 Kamo Road, Kamo, Whangarei",174.301681,-35.6850927,Grade A,2016-06-01,0,Grade A,2015-06-01,0,Grade A, 2014-06-01,,,
Kamo Takeaways,"569 Kamo Road, Kamo, Whangarei",174.3001995,-35.6820189,Grade A+,2015-08-01,0,Grade A+, 2013-09-01,,,,,,
Kara Valley Bacon,"572 Karo Road, Maungatapere, Whangarei",174.1956008,-35.7026612,Grade A,2015-06-01,0,Grade A, 2014-06-01,,,,,,
KD's Lunch Bar,"277 Port Road, Whangarei",174.3458598,-35.7443151,Grade A+,2015-12-01,,,,,,,,,
Keen Kitchen,"Barge Showground Kitchen, Maunu, Whangarei",174.2772851,-35.7431985,Grade A,2016-06-01,,,,,,,,,
Kensington Foodmart," 95 Kamo Road, Kensington, Whangarei ",174.321575,-35.708895,Grade B , 2013-08-01,,,,,,,,,
Kensington Tavern," Corner of Kensington Avenue and Davies Street, Kensington, ",174.320872,-35.708628,Grade A+,2015-06-01,0,Grade A+, 2014-07-01,,,,,,
KFC,"126 Bank Street, Whangarei",174.3209145,-35.7205168,Grade A+,2015-06-01,0,Grade A+, 2014-07-01,,,,,,
Killer Prawn,"22 Bank Street, Whangarei",174.3194802,-35.7255682,Grade A+,2016-03-01,0,Grade A+, 2015-04-01,,,,,,
King's Mart,"18 John Street, Whangarei",174.3224147,-35.7255588,Grade A,2015-09-01,0,Grade A, 2014-08-01,,,,,,
Kings Takeaway,"525 Kamo Road, Kamo, Whangarei",174.3008318,-35.6832152,Grade A+,2015-09-01,0,Grade A+, 2014-10-01,,,,,,
Kingsgate Hotel,"9 Riverside Drive, Whangarei",174.327632,-35.723466,Grade A+,2015-10-01,0,Grade A+, 2014-09-01,,,,,,
Kingsway Dairy,"11A King Street, Hikurangi, Whangarei",174.2868493,-35.60007,Grade A,2015-08-01,0,Grade A, 2014-08-01,,,,,,
Kitchen Giggles,"42 Pukeatua Road, Maungatapere, Whangarei",174.2077539,-35.7674017,Grade A+,2016-02-01,,,,,,,,,
